VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1442;Vårgårda;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1442;Vårgårda;ANARKISTERNA; ;1628;;;
KF;1442;Vårgårda;ANDOPARTIET; ;1602;;;
KF;1442;Vårgårda;Arbetarepartiet-Socialdemokraterna;S;2;23.404811715481173;https://www.socialdemokraterna.se/;#EE2020
KF;1442;Vårgårda;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1442;Vårgårda;Bjornpartiet; ;1629;;;
KF;1442;Vårgårda;Centerpartiet;C;4;20.750523012552303;https://www.centerpartiet.se/;#009933
KF;1442;Vårgårda;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1442;Vårgårda;Det minst dåliga partiet; ;1622;;;
KF;1442;Vårgårda;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1442;Vårgårda;Drivkraft; ;1621;;;
KF;1442;Vårgårda;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1442;Vårgårda;Enad Politik; ;1589;;;
KF;1442;Vårgårda;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1442;Vårgårda;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1442;Vårgårda;Enskild person/Riksdagen val; ;1614;;;
KF;1442;Vårgårda;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1442;Vårgårda;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1442;Vårgårda;EUSEC; ;1534;;;
KF;1442;Vårgårda;FAMILJENS FRIHET; ;1606;;;
KF;1442;Vårgårda;Fattigmans parti; ;1618;;;
KF;1442;Vårgårda;Feministiskt initiativ;FI;532;0.10460251046025104;https://feministisktinitiativ.se/;
KF;1442;Vårgårda;FN Parti art.27; ;1631;;;
KF;1442;Vårgårda;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1442;Vårgårda;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1442;Vårgårda;Fredspartiet; ;1484;;;
KF;1442;Vårgårda;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1442;Vårgårda;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1442;Vårgårda;Fritt val; ;1479;;;
KF;1442;Vårgårda;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1442;Vårgårda;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1442;Vårgårda;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1442;Vårgårda;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1442;Vårgårda;Humanistisk demokrati (HD);HD;1480;;;
KF;1442;Vårgårda;Invandrarpartiet; ;1624;;;
KF;1442;Vårgårda;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1442;Vårgårda;Kalle ankapartiet; ;1579;;;
KF;1442;Vårgårda;Kapitalism med vänligt ansikte; ;1495;;;
KF;1442;Vårgårda;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1442;Vårgårda;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1442;Vårgårda;Kristdemokraterna;KD;68;13.219142259414227;https://kristdemokraterna.se/;#231977
KF;1442;Vårgårda;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1442;Vårgårda;KSP; ;1612;;;
KF;1442;Vårgårda;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1442;Vårgårda;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1442;Vårgårda;Liberalerna (tidigare Folkpartiet);L;3;4.419456066945607;https://www.liberalerna.se/;#6BB7EC
KF;1442;Vårgårda;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1442;Vårgårda;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1442;Vårgårda;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1442;Vårgårda;Miljöpartiet de gröna;MP;55;5.622384937238493;https://www.mp.se/;#83CF39
KF;1442;Vårgårda;Min röst; ;1437;;;
KF;1442;Vårgårda;MITT SVERIGE; ;1591;;;
KF;1442;Vårgårda;MoD; ;1568;;https://partietmod.se/;
KF;1442;Vårgårda;Moderaterna;M;1;14.526673640167365;https://moderaterna.se/;#1B49DD
KF;1442;Vårgårda;Monisterna; ;1502;;;
KF;1442;Vårgårda;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1442;Vårgårda;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1442;Vårgårda;NaturFilosoferna; ;1460;;;
KF;1442;Vårgårda;Naturistpartiet; ;1627;;;
KF;1442;Vårgårda;Neoteknokraterna; ;1613;;;
KF;1442;Vårgårda;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1442;Vårgårda;Nu får det fan vara nog; ;1623;;;
KF;1442;Vårgårda;Ny Demokrati; ;1596;;;
KF;1442;Vårgårda;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1442;Vårgårda;Nya Frihetspartiet; ;1443;;;
KF;1442;Vårgårda;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1442;Vårgårda;OK; ;1478;;;
KF;1442;Vårgårda;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1442;Vårgårda;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1442;Vårgårda;Partiet Frihet; ;1599;;;
KF;1442;Vårgårda;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1442;Vårgårda;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1442;Vårgårda;Pax; ;1491;;https://www.paxpartiet.se/;
KF;1442;Vårgårda;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;1442;Vårgårda;Politiskt Skifte; ;1617;;;
KF;1442;Vårgårda;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;1442;Vårgårda;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;1442;Vårgårda;Reformpartiet; ;1616;;;
KF;1442;Vårgårda;Rikspolitiska partiet; ;1496;;;
KF;1442;Vårgårda;SKP;Skp;1586;;https://skp.se;
KF;1442;Vårgårda;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;1442;Vårgårda;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;1442;Vårgårda;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;1442;Vårgårda;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;1442;Vårgårda;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;1442;Vårgårda;Svensk Jobbdemokrati; ;1603;;;
KF;1442;Vårgårda;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;1442;Vårgårda;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;1442;Vårgårda;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;1442;Vårgårda;Sverigedemokraterna;SD;110;13.140690376569037;https://sd.se/;#DDDD00
KF;1442;Vårgårda;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;1442;Vårgårda;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;1442;Vårgårda;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;1442;Vårgårda;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;1442;Vårgårda;Upprorsdemokraterna; ;1630;;;
KF;1442;Vårgårda;Valsamverkanspartiet; ;1526;;;
KF;1442;Vårgårda;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;1442;Vårgårda;Volt Sverige;Volt;1610;;;
KF;1442;Vårgårda;Vårgårdapartiet; ;1488;;;
KF;1442;Vårgårda;Vänsterpartiet;V;5;4.720188284518829;https://www.vansterpartiet.se/;#AF0000
KF;1442;Vårgårda;Yggdrasil; ;1454;;;
KF;1442;Vårgårda;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
