VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2513;Överkalix;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2513;Överkalix;ANDOPARTIET; ;1602;;
KF;2513;Överkalix;Arbetarepartiet-Socialdemokraterna;S;2;53.20284697508897;https://www.socialdemokraterna.se/
KF;2513;Överkalix;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2513;Överkalix;Centerpartiet;C;4;16.459074733096084;https://www.centerpartiet.se/
KF;2513;Överkalix;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2513;Överkalix;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2513;Överkalix;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2513;Överkalix;Enad Politik; ;1589;;
KF;2513;Överkalix;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2513;Överkalix;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2513;Överkalix;EUSEC; ;1534;;
KF;2513;Överkalix;Feministiskt initiativ;FI;532;0.04448398576512455;https://feministisktinitiativ.se/
KF;2513;Överkalix;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2513;Överkalix;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2513;Överkalix;Fredspartiet; ;1484;;
KF;2513;Överkalix;Fria Wermland; ;1548;;https://friawermland.se/
KF;2513;Överkalix;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2513;Överkalix;Fritt val; ;1479;;
KF;2513;Överkalix;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2513;Överkalix;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2513;Överkalix;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2513;Överkalix;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2513;Överkalix;Humanistisk demokrati (HD);HD;1480;;
KF;2513;Överkalix;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2513;Överkalix;Kalle ankapartiet; ;1579;;
KF;2513;Överkalix;Kapitalism med vänligt ansikte; ;1495;;
KF;2513;Överkalix;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2513;Överkalix;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2513;Överkalix;Kristdemokraterna;KD;68;0.1779359430604982;https://kristdemokraterna.se/
KF;2513;Överkalix;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2513;Överkalix;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2513;Överkalix;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2513;Överkalix;Liberalerna (tidigare Folkpartiet);L;3;1.3345195729537367;https://www.liberalerna.se/
KF;2513;Överkalix;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2513;Överkalix;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2513;Överkalix;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2513;Överkalix;Miljöpartiet de gröna;MP;55;0.9786476868327402;https://www.mp.se/
KF;2513;Överkalix;Min röst; ;1437;;
KF;2513;Överkalix;MITT SVERIGE; ;1591;;
KF;2513;Överkalix;Moderaterna;M;1;9.030249110320284;https://moderaterna.se/
KF;2513;Överkalix;Monisterna; ;1502;;
KF;2513;Överkalix;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2513;Överkalix;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2513;Överkalix;NaturFilosoferna; ;1460;;
KF;2513;Överkalix;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2513;Överkalix;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2513;Överkalix;Nya Frihetspartiet; ;1443;;
KF;2513;Överkalix;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2513;Överkalix;OK; ;1478;;
KF;2513;Överkalix;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2513;Överkalix;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2513;Överkalix;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2513;Överkalix;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2513;Överkalix;Pax; ;1491;;https://www.paxpartiet.se/
KF;2513;Överkalix;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2513;Överkalix;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2513;Överkalix;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2513;Överkalix;Rikspolitiska partiet; ;1496;;
KF;2513;Överkalix;SKP; ;1586;;https://skp.se
KF;2513;Överkalix;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2513;Överkalix;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2513;Överkalix;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2513;Överkalix;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2513;Överkalix;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2513;Överkalix;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2513;Överkalix;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2513;Överkalix;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2513;Överkalix;Sverigedemokraterna;SD;110;6.539145907473309;https://sd.se/
KF;2513;Överkalix;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2513;Överkalix;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2513;Överkalix;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2513;Överkalix;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2513;Överkalix;Valsamverkanspartiet; ;1526;;
KF;2513;Överkalix;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2513;Överkalix;Vänsterpartiet;V;5;12.188612099644129;https://www.vansterpartiet.se/
KF;2513;Överkalix;Yggdrasil; ;1454;;
KF;2513;Överkalix;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
